product_id,Review
890366002,Beautifully made good quality great navy blue color soft to the touch and a great value
454821012,Perfect comfy pants
815146002,Nice pant. Great deal while on sale too
626638002,No review found
891086002,"Love the quality and fit of these pants, I am 5.3"" tall size 4 and apparently petite is not available for this style, I just had them altered for the lenght since the fit ion the waist and the butt is very nice. I recommend this pants!"
445422022,very good
815006002,"Good summer weight. The 9"" length is a nice option. Not too long, but more leg coverage. Very comfortable. Glad they were on sale. Full price is a bit over priced for me."
884545002,I just purchased these and love the flare and fit. They can be dressed up or worn casual.
882894052,"Ordered smaller size as I thought it ran big. The waist was too stiff, tight and too high waisted but around hips it was very loose"
502849002,No review found
815370012,These are wonderful shorts. I enjoy the comfort of wearing shorts designed for adult men who want to stay cool and dress stylishly. The ladies have given me numerous comments on them.
492625002,"Runs small, I wear 2 but this is too small for me."
885671002,"I got these for my dad in his usual size 34x32. They are true to size. The linen and cotton blend is just perfect; cotton alone can look too much like workwear, and linen on its own is too casual. These pants are perfect warm weather backyard party/vacation/going out type of garment. The herringbone is subtle but elevates the pant instantly. Get them. #sweepstakes"
513222002,No review found
502774002,Feel and looks great on me
534241002,Super comfortable and soft. Paired the Jogger with the Herringbone Ponte Coach Jacket . Great look for travel and on the go! Has extra stretch for extra comfort.
454837002,"I love these, they fit great and are tight. The material is soft and comfortable. These are excellent for early fall."
445864012,Those front pleats could be limiting. I'm not too hippy and ordered my true BR size 10T. The pleats were poking out slightly in the thigh area even though not tight but loose in the waist causing a sag. I may size down and give it another shot. I got the Alix Satin pant too that fit me perfectly like it was custom made.
468754002,No review found
890127022,So cute.
871156002,"Love the drape, great pants."
502879002,Color was as advertised.
871161012,"Banana Republic has some of the best linen. But this Italian linen has taken the cake with quality and style. I liked them so much, I inadvertently bought the 3 pairs of pants (Al colors). You guys outdid your selves with these pants."
420657032,I wanted to get my husband up to date with his jeans. These looked great on him! I ordered a second pair with a lighter wash. BR has become my go to for us both. He now has several cashmere sweaters and it is always my go to especially if I need something for a special event!
539209002,"Purchased with the aim of wearing pants that fit as they do on the first model. Pants, lengthwise, are realistically comparable to where they fall on the second model. These are cropped pants. I'm 5'7"", 150lbs, and purchased my normal size 8. And they fit elsewhere as my other size 8s do. But cropped wool pants heading into winter just seems as though they won't get worn often. While there is a ""long"" option, it would affect the stride. I feel as though a longer stride wouldn't solve things because then it would just look goofy in that area. Also, not lined, for anyone curious. Which doesn't bother me but might bother others. Bummer."
430133002,No review found
884544002,Error occurred
755038002,"Has a great wash and fit. Decent amount of stretch but not too much. Doesn't hold its shape as you wear it. Gives off a very naturally worn classic cotton jean vibe, if you like that work it vibe."
809962052,"True to size, light, and breathable. Keeping me cool on these hot, humid summer days."
468742002,These were not straight leg they were extra wide leg. Not flattering on anyone under 6 feet.
753867002,"Great modern fit, the fabric is great, the fit is good."
468813002,No review found
871152002,Pants were more of a tapered fit than a slim straight fit. Pants seemed baggy in the seat and thigh and narrowed to a slim leg opening. Did not like the fit.
513211002,No review found
513213002,Beautiful pants with a perfect drape. Absolutely gorgeous.
573143002,Very good
502838002,I like the quality of the fabric.
871167002,Fabric is divine
869181052,Comfortable and user friendly linen shorts. Perfect for every occasion.
881530002,"This suit pant is amazing, color is beautiful, not to mention the quality behind it. I also bought it for an amazing discount that may still be going on. You will not regret this purchase!"
